,Dataset_ID,Category,Capabilities,Product_Weight,Control_Weight,Product_Weighted_Score,Control_Weighted_Score,Product_Score,Control_Score,Total_Score,RE_Min,RE_Max,RC_Min,RC_Max,ALE
0,1,Architecture,Data at rest encryption,4350,2100,150,3200,0.034482758620689655,1.5238095238095237,0.5193798449612403,3712785,4822377,642715,3664940,5670131
1,1,Architecture,Data in motion encryption,3100,2200,2350,3400,0.7580645161290323,1.5454545454545454,1.0849056603773586,2349924,10740813,597150,2677734,4539199
2,1,Architecture,Secure edge access,1550,1400,1700,2050,1.096774193548387,1.4642857142857142,1.271186440677966,1150074,7790931,439249,1609719,5776962
3,1,Architecture,Segmentation,4450,3650,1750,3650,0.39325842696629215,1.0,0.6666666666666666,2419675,10105596,354719,2616994,5582467
4,1,Architecture,Threat intelligence,1600,3350,1900,1800,1.1875,0.5373134328358209,0.7474747474747475,219398,4731208,543022,1914144,7012163
5,1,Architecture,Visibility,4950,850,50,3150,0.010101010101010102,3.7058823529411766,0.5517241379310345,2117301,10828043,1566520,516190,4119893
6,1,Hygiene,Access control,400,3100,4950,1500,12.375,0.4838709677419355,1.8428571428571427,4793916,7175849,1023535,2760908,6114301
7,1,Hygiene,Configuration control,2350,2100,1650,3500,0.7021276595744681,1.6666666666666667,1.1573033707865168,4409030,3053276,839353,436823,368856
8,1,Hygiene,Identity and access management,2500,1150,4000,2900,1.6,2.5217391304347827,1.8904109589041096,1315301,4085651,842256,1366905,6051807
9,1,Hygiene,Logging / analytics,4450,3150,4850,2150,1.0898876404494382,0.6825396825396826,0.9210526315789473,5276504,4545186,119676,2769603,7221670
10,1,Hygiene,Strong key management,4200,3250,1900,550,0.4523809523809524,0.16923076923076924,0.3288590604026846,3415689,10942334,1335691,3527655,5995410
11,1,Hygiene,Vulnerability scanning,4000,1850,1850,3300,0.4625,1.7837837837837838,0.8803418803418803,717229,476822,1350414,1237509,5111688
12,1,Operations,Break & inspect,4950,2650,2200,3250,0.4444444444444444,1.2264150943396226,0.7171052631578947,1740769,7868122,1751030,1718275,5978148
13,1,Operations,"EDR, XDR",1250,1800,4550,2350,3.64,1.3055555555555556,2.262295081967213,1422651,10032855,233015,2258474,2032426
14,1,Operations,Real-time analytics,900,1500,4050,300,4.5,0.2,1.8125,1014095,3027438,1494136,251091,2259616
15,1,Operations,Sandboxing,2800,3350,400,2700,0.14285714285714285,0.8059701492537313,0.5040650406504065,3626876,8398592,1694367,3454320,2144016
16,1,Operations,Security operations oversight,1650,900,550,1650,0.3333333333333333,1.8333333333333333,0.8627450980392157,1677740,6694923,1093837,2166141,3695530
17,1,Operations,Synchronized policy enforcement,4550,3800,800,150,0.17582417582417584,0.039473684210526314,0.11377245508982035,4107931,7683952,1133436,627071,8026341
18,1,Process,process_1,2600,3900,500,3800,0.19230769230769232,0.9743589743589743,0.6615384615384615,1940034,5127291,1586515,1586958,6943031
19,1,Process,process_2,2100,4850,2950,1900,1.4047619047619047,0.3917525773195876,0.697841726618705,2285334,2995614,1051188,2267509,4257894
20,1,Process,process_3,3900,850,1150,4850,0.2948717948717949,5.705882352941177,1.263157894736842,4421225,10749303,807516,2456333,6295970
21,1,Process,process_4,2400,1250,2800,2450,1.1666666666666667,1.96,1.4383561643835616,4118100,8365676,58102,149329,6940522
22,1,Process,process_5,2600,1200,2700,1200,1.0384615384615385,1.0,1.0263157894736843,787202,5019905,62848,1073573,3934924
23,1,Process,process_6,550,4550,1200,2200,2.1818181818181817,0.4835164835164835,0.6666666666666666,4908037,2566778,1348852,2111870,8141402
24,2,Architecture,Data at rest encryption,600,2250,2750,2850,4.583333333333333,1.2666666666666666,1.9649122807017543,4854007,7900311,860593,3001926,4595227
25,2,Architecture,Data in motion encryption,2650,750,4850,1600,1.830188679245283,2.1333333333333333,1.8970588235294117,3259314,9072327,1351891,3442280,4110772
26,2,Architecture,Secure edge access,2600,2200,1700,4300,0.6538461538461539,1.9545454545454546,1.25,4366432,10827799,299651,2489547,5324776
27,2,Architecture,Segmentation,1800,150,3800,700,2.111111111111111,4.666666666666667,2.3076923076923075,1630894,5692816,817837,1652683,5814028
28,2,Architecture,Threat intelligence,2700,3750,1100,600,0.4074074074074074,0.16,0.26356589147286824,943136,10344918,1561045,1637624,7645654
29,2,Architecture,Visibility,1200,2100,900,1200,0.75,0.5714285714285714,0.6363636363636364,1555143,9401843,300913,2431295,535238
30,2,Hygiene,Access control,4900,1750,4950,1900,1.010204081632653,1.0857142857142856,1.0300751879699248,4810817,10167094,468046,1223479,434616
31,2,Hygiene,Configuration control,850,1700,350,1150,0.4117647058823529,0.6764705882352942,0.5882352941176471,686778,1187013,1691508,2211047,576333
32,2,Hygiene,Identity and access management,2800,1550,4000,3700,1.4285714285714286,2.3870967741935485,1.7701149425287357,2115445,2516362,416909,1413811,5433498
33,2,Hygiene,Logging / analytics,600,2250,4850,3100,8.083333333333334,1.3777777777777778,2.789473684210526,3336278,10583191,501555,773296,370928
34,2,Hygiene,Strong key management,500,1150,1600,2100,3.2,1.826086956521739,2.242424242424242,2085620,8005483,130596,2586517,7673557
35,2,Hygiene,Vulnerability scanning,500,3550,300,2150,0.6,0.6056338028169014,0.6049382716049383,5035872,716007,461814,166190,3210143
36,2,Operations,Break & inspect,1150,1950,2350,4950,2.0434782608695654,2.5384615384615383,2.3548387096774195,4038347,6196359,998239,581791,1253473
37,2,Operations,"EDR, XDR",4650,2000,2200,3450,0.4731182795698925,1.725,0.849624060150376,5162987,10252711,1694018,912528,5184152
38,2,Operations,Real-time analytics,2250,500,3300,3200,1.4666666666666666,6.4,2.3636363636363638,4029204,11076263,1354096,3332648,5729798
39,2,Operations,Sandboxing,100,2100,3450,900,34.5,0.42857142857142855,1.9772727272727273,3546993,6263119,357377,1109664,4242045
40,2,Operations,Security operations oversight,1700,3750,2800,3850,1.6470588235294117,1.0266666666666666,1.2201834862385321,3408395,7191386,720660,1134332,1716049
41,2,Operations,Synchronized policy enforcement,2450,2400,4650,4750,1.8979591836734695,1.9791666666666667,1.9381443298969072,1578159,2008548,543592,2784354,491657
42,2,Process,process_1,2600,3050,2850,250,1.0961538461538463,0.08196721311475409,0.5486725663716814,5075532,3142048,929400,2858200,7887077
43,2,Process,process_2,2750,800,4750,2600,1.7272727272727273,3.25,2.0704225352112675,1745900,9225988,320585,306049,1756049
44,2,Process,process_3,3550,750,1750,200,0.49295774647887325,0.26666666666666666,0.45348837209302323,384153,9340047,1423570,3138027,5403844
45,2,Process,process_4,3150,3850,150,2850,0.047619047619047616,0.7402597402597403,0.42857142857142855,446181,5166884,961091,761168,3279647
46,2,Process,process_5,3700,3400,2600,700,0.7027027027027027,0.20588235294117646,0.4647887323943662,3844319,3756378,1610317,2633253,2711503
47,2,Process,process_6,4250,3400,4750,4150,1.1176470588235294,1.2205882352941178,1.1633986928104576,1463967,8247004,847833,1889306,4183010
48,3,Architecture,Data at rest encryption,1200,4150,1650,400,1.375,0.0963855421686747,0.38317757009345793,391088,4952972,694198,1188633,6678494
49,3,Architecture,Data in motion encryption,2700,1700,750,4700,0.2777777777777778,2.764705882352941,1.2386363636363635,5144531,2414688,1090438,314040,6516735
50,3,Architecture,Secure edge access,3250,50,3450,3600,1.0615384615384615,72.0,2.1363636363636362,4781609,1160149,1315480,155911,3122387
51,3,Architecture,Segmentation,2450,4300,650,4400,0.2653061224489796,1.0232558139534884,0.7481481481481481,3808768,7023104,121095,635609,6596150
52,3,Architecture,Threat intelligence,3300,3750,2850,2600,0.8636363636363636,0.6933333333333334,0.7730496453900709,3923784,9239976,268805,2153916,5698119
53,3,Architecture,Visibility,2150,800,2250,4500,1.0465116279069768,5.625,2.288135593220339,172829,5772951,385828,2572775,6414897
54,3,Hygiene,Access control,3600,1700,2800,4350,0.7777777777777778,2.5588235294117645,1.349056603773585,3947082,7464876,1705248,302410,4393894
55,3,Hygiene,Configuration control,400,1050,4600,50,11.5,0.047619047619047616,3.206896551724138,2407652,1145612,1214865,269292,2603807
56,3,Hygiene,Identity and access management,2950,1750,4050,2300,1.3728813559322033,1.3142857142857143,1.351063829787234,1121030,3680577,224555,3608832,6108708
57,3,Hygiene,Logging / analytics,600,350,700,2450,1.1666666666666667,7.0,3.3157894736842106,318929,5278109,1652283,2276605,3980136
58,3,Hygiene,Strong key management,3450,4200,950,2850,0.2753623188405797,0.6785714285714286,0.49673202614379086,4937057,7683555,648252,1048808,652586
59,3,Hygiene,Vulnerability scanning,3950,1900,4700,4050,1.1898734177215189,2.1315789473684212,1.4957264957264957,1663820,3773831,745103,856020,5222033
60,3,Operations,Break & inspect,100,600,1300,4250,13.0,7.083333333333333,7.928571428571429,197971,1358590,1309921,3518865,5658618
61,3,Operations,"EDR, XDR",4550,1800,2400,2500,0.5274725274725275,1.3888888888888888,0.7716535433070866,5055729,7370391,1778748,3642531,781424
62,3,Operations,Real-time analytics,4200,3400,2500,4150,0.5952380952380952,1.2205882352941178,0.875,2823727,9276588,254281,993772,6875224
63,3,Operations,Sandboxing,850,2450,3900,2350,4.588235294117647,0.9591836734693877,1.893939393939394,5287892,5124493,1571081,2211347,7183371
64,3,Operations,Security operations oversight,4250,2950,1550,900,0.36470588235294116,0.3050847457627119,0.3402777777777778,1443847,10207364,1682754,1868316,879693
65,3,Operations,Synchronized policy enforcement,4550,450,1700,1400,0.37362637362637363,3.111111111111111,0.62,4803981,8468974,862690,2408509,2059391
66,3,Process,process_1,200,2400,2200,1600,11.0,0.6666666666666666,1.4615384615384615,2141935,10330310,725577,362749,5591104
67,3,Process,process_2,3700,2750,3700,650,1.0,0.23636363636363636,0.6744186046511628,3511126,10455665,1462498,1403915,3082045
68,3,Process,process_3,3150,2500,2900,3900,0.9206349206349206,1.56,1.2035398230088497,4436718,7494032,902106,2533799,4417722
69,3,Process,process_4,4250,3450,2650,1000,0.6235294117647059,0.2898550724637681,0.474025974025974,1641339,2731958,380340,2927657,6332688
70,3,Process,process_5,3900,3900,2100,1750,0.5384615384615384,0.44871794871794873,0.4935897435897436,4594581,2993781,472383,2641914,4023834
71,3,Process,process_6,4850,2500,1700,1800,0.35051546391752575,0.72,0.47619047619047616,5408978,10792242,977032,1811565,7859663
72,4,Architecture,Data at rest encryption,250,4600,1850,4150,7.4,0.9021739130434783,1.2371134020618557,3466835,8065577,1754791,3199612,6223836
73,4,Architecture,Data in motion encryption,4350,3650,2650,1000,0.6091954022988506,0.273972602739726,0.45625,2294547,7681254,1396825,1259464,1530252
74,4,Architecture,Secure edge access,4050,400,4650,2000,1.1481481481481481,5.0,1.4943820224719102,1974909,6266245,1706684,1084834,2874400
75,4,Architecture,Segmentation,800,3050,1450,1800,1.8125,0.5901639344262295,0.8441558441558441,2427714,4854633,711097,2888972,5357626
76,4,Architecture,Threat intelligence,3100,2500,2000,1350,0.6451612903225806,0.54,0.5982142857142857,3998018,6430850,490002,633232,2951573
77,4,Architecture,Visibility,1000,50,3550,2550,3.55,51.0,5.809523809523809,484542,2138596,765870,1195291,7197652
78,4,Hygiene,Access control,3700,4250,900,2200,0.24324324324324326,0.5176470588235295,0.389937106918239,1174134,5660590,719855,3296441,1937841
79,4,Hygiene,Configuration control,800,100,800,250,1.0,2.5,1.1666666666666667,4744011,653187,1110092,1919583,2400159
80,4,Hygiene,Identity and access management,2100,600,2950,4050,1.4047619047619047,6.75,2.5925925925925926,2035571,10871046,1160471,3008052,5607521
81,4,Hygiene,Logging / analytics,2600,3800,1050,4100,0.40384615384615385,1.0789473684210527,0.8046875,1440312,9402300,1718533,2595219,5677194
82,4,Hygiene,Strong key management,3550,3850,3100,3200,0.8732394366197183,0.8311688311688312,0.8513513513513513,386318,10107804,301746,1147884,3815162
